Index,sentiment,binary_value,sentiment:confidence,text,tokens ,Column12
n0,3,1,0.6264, aapl the 10 best steve jobs emails ever   ,"[\'aapl\', \'the\', \'10\', \'best\', \'steve\', \'jobs\', \'emails\', \'ever\'] ",
n1,3,1,0.8129,rt  why aapl stock had a mini flash crash today  aapl  aapl\n,"[\'rt\', \'why\', \'aapl\', \'stock\', \'had\', \'a\', \'mini\', \'flash\', \'crash\', \'today\', \'aapl\', \'aapl\'] ",
n2,3,1,1,my cat only chews  cords  such an  applesnob ,"[\'my\', \'cat\', \'only\', \'chews\', \'cords\', \'such\', \'an\', \'applesnob\'] ",
n3,3,1,0.5848,"i agree with  that the  individualinvestor should own not trade  apple  aapl, its extended so todays pullback is good to see","[\'i\', \'agree\', \'with\', \'that\', \'the\', \'individualinvestor\', \'should\', \'own\', \'not\', \'trade\', \'apple\', \'aapl\', \'its\', \'extended\', \'so\', \'todays\', \'pullback\', \'is\', \'good\', \'to\', \'see\'] ",
n4,3,1,0.6474,nobody expects the spanish inquisition  aapl,"[\'nobody\', \'expects\', \'the\', \'spanish\', \'inquisition\', \'aapl\'] ",
n5,3,1,0.5975, aapl 5 rocket stocks to buy for december gains  apple and more   ,"[\'aapl\', \'5\', \'rocket\', \'stocks\', \'to\', \'buy\', \'for\', \'december\', \'gains\', \'apple\', \'and\', \'more\'] ",
n6,5,1,0.8468,top 3 all   tablets  damn right! ,"[\'top\', \'3\', \'all\', \'tablets\', \'damn\', \'right\'] ",
n7,5,1,0.6736,cnbctv   apples margins better than expected?  aapl ,"[\'cnbctv\', \'apples\', \'margins\', \'better\', \'than\', \'expected\', \'aapl\'] ",
n8,3,1,0.7997,apple inc  flash crash  what you need to know   aapl,"[\'apple\', \'inc\', \'flash\', \'crash\', \'what\', \'you\', \'need\', \'to\', \'know\', \'aapl\'] ",
n9,3,1,0.636, aapl this presentation shows what makes the worlds biggest tech companies    ,"[\'aapl\', \'this\', \'presentation\', \'shows\', \'what\', \'makes\', \'the\', \'worlds\', \'biggest\', \'tech\', \'companies\'] ",
n10,1,0,1,wtf my battery was 31  one second ago and now is 29  wtf is this ,"[\'wtf\', \'my\', \'battery\', \'was\', \'31\', \'one\', \'second\', \'ago\', \'and\', \'now\', \'is\', \'29\', \'wtf\', \'is\', \'this\'] ",
n11,3,1,0.6658,apple watch tops search engine list of best wearable tech   aapl  iwatch  applewatch,"[\'apple\', \'watch\', \'tops\', \'search\', \'engine\', \'list\', \'of\', \'best\', \'wearable\', \'tech\', \'aapl\', \'iwatch\', \'applewatch\'] ",
n12,3,1,0.8381,"the best designed  iphone  apps in the world, according to   ","[\'the\', \'best\', \'designed\', \'iphone\', \'apps\', \'in\', \'the\', \'world\', \'according\', \'to\'] ",
n13,5,1,1,rt  bought my  at the  store  pretty good logo match   cant wait to install it! ,"[\'rt\', \'bought\', \'my\', \'at\', \'the\', \'store\', \'pretty\', \'good\', \'logo\', \'match\', \'cant\', \'wait\', \'to\', \'install\', \'it\'] ",
n14,1,0,1, contact sync between yosemite and ios8 is seriously screwed up  it used to be much more stable in the past   icloud  isync,"[\'contact\', \'sync\', \'between\', \'yosemite\', \'and\', \'ios8\', \'is\', \'seriously\', \'screwed\', \'up\', \'it\', \'used\', \'to\', \'be\', \'much\', \'more\', \'stable\', \'in\', \'the\', \'past\', \'icloud\', \'isync\'] ",
n15,3,1,0.4798, aapl  thanks to the non factual dumb twitter followers stock drops 3 points in one minute  thanks dummies   rumors,"[\'aapl\', \'thanks\', \'to\', \'the\', \'non\', \'factual\', \'dumb\', \'twitter\', \'followers\', \'stock\', \'drops\', \'3\', \'points\', \'in\', \'one\', \'minute\', \'thanks\', \'dummies\', \'rumors\'] ",
n16,1,0,0.9399,warning if you buy an iphone 5s unlocked from  iphone you cannot use it on verizon network,"[\'warning\', \'if\', \'you\', \'buy\', \'an\', \'iphone\', \'5s\', \'unlocked\', \'from\', \'iphone\', \'you\', \'cannot\', \'use\', \'it\', \'on\', \'verizon\', \'network\'] ",
n18,3,1,0.6621, thanks for xtra checkin at upper westside store  but why are appointments running almost 50 minutes late?,"[\'thanks\', \'for\', \'xtra\', \'checkin\', \'at\', \'upper\', \'westside\', \'store\', \'but\', \'why\', \'are\', \'appointments\', \'running\', \'almost\', \'50\', \'minutes\', \'late\'] ",
n19,3,1,1,why  aapl stock had a mini flash crash today  money morning  nothing the analysts suggested would make a widel    ,"[\'why\', \'aapl\', \'stock\', \'had\', \'a\', \'mini\', \'flash\', \'crash\', \'today\', \'money\', \'morning\', \'nothing\', \'the\', \'analysts\', \'suggested\', \'would\', \'make\', \'a\', \'widel\'] ",
n21,3,1,0.7244,the jh hines staff with their newly issued   connected macbook and ipad mini  txed ,"[\'the\', \'jh\', \'hines\', \'staff\', \'with\', \'their\', \'newly\', \'issued\', \'connected\', \'macbook\', \'and\', \'ipad\', \'mini\', \'txed\'] ",
n22,3,1,0.6552, you need an ip portfolio to defend against big companies   just look at   court battles,"[\'you\', \'need\', \'an\', \'ip\', \'portfolio\', \'to\', \'defend\', \'against\', \'big\', \'companies\', \'just\', \'look\', \'at\', \'court\', \'battles\'] ",
n23,1,0,1," for the love of gawd, center the 1on the damn calendar app  you fixed it once, its back, off center, again! ","[\'for\', \'the\', \'love\', \'of\', \'gawd\', \'center\', \'the\', \'1on\', \'the\', \'damn\', \'calendar\', \'app\', \'you\', \'fixed\', \'it\', \'once\', \'its\', \'back\', \'off\', \'center\', \'again\'] ",
n24,1,0,0.8928,i get the storage almost full notification literally every 5 minutes chill ,"[\'i\', \'get\', \'the\', \'storage\', \'almost\', \'full\', \'notification\', \'literally\', \'every\', \'5\', \'minutes\', \'chill\'] ",
n25,1,0,0.8558,i had to do made the  switch from iphone 6 to the galaxy note edge   keep up ,"[\'i\', \'had\', \'to\', \'do\', \'made\', \'the\', \'switch\', \'from\', \'iphone\', \'6\', \'to\', \'the\', \'galaxy\', \'note\', \'edge\', \'keep\', \'up\'] ",
n26,1,0,0.8701,at me rt  cant stand those ppl with  stickers everywhere  9 10 they prob just bought an ipod shuffle,"[\'at\', \'me\', \'rt\', \'cant\', \'stand\', \'those\', \'ppl\', \'with\', \'stickers\', \'everywhere\', \'9\', \'10\', \'they\', \'prob\', \'just\', \'bought\', \'an\', \'ipod\', \'shuffle\'] ",
n27,3,1,0.7244,justice department cites 18th century federal law to get  to unlock iphones  ,"[\'justice\', \'department\', \'cites\', \'18th\', \'century\', \'federal\', \'law\', \'to\', \'get\', \'to\', \'unlock\', \'iphones\'] ",
